Date Start,Date End,Open,High,Low,Close,Volume,Market Cap
"Jul 30, 2023","Jul 31, 2023","$ 1,884.02","$ 1,886.29","$ 1,855.73","$ 1,863.04",$ 8.45B,$ 225.89B
"Jul 29, 2023","Jul 30, 2023","$ 1,876.91","$ 1,889.65","$ 1,869.24","$ 1,886.08",$ 9.37B,$ 226.05B
"Jul 28, 2023","Jul 29, 2023","$ 1,864.07","$ 1,882.02","$ 1,857.16","$ 1,876.01",$ 11.61B,$ 225.22B
"Jul 27, 2023","Jul 28, 2023","$ 1,872.75","$ 1,888.18","$ 1,856.75","$ 1,861.33",$ 14.05B,$ 225.50B
"Jul 26, 2023","Jul 27, 2023","$ 1,860.00","$ 1,886.40","$ 1,849.65","$ 1,873.31",$ 11.49B,$ 224.28B
"Jul 25, 2023","Jul 26, 2023","$ 1,850.02","$ 1,867.28","$ 1,844.43","$ 1,863.38",$ 13.29B,$ 223.47B
"Jul 24, 2023","Jul 25, 2023","$ 1,884.92","$ 1,886.63","$ 1,838.45","$ 1,850.73",$ 15.08B,$ 223.69B
"Jul 23, 2023","Jul 24, 2023","$ 1,866.01","$ 1,898.89","$ 1,857.59","$ 1,886.23",$ 12.09B,$ 225.81B
"Jul 22, 2023","Jul 23, 2023","$ 1,888.80","$ 1,892.67","$ 1,854.69","$ 1,860.51",$ 10.86B,$ 226.85B
"Jul 21, 2023","Jul 22, 2023","$ 1,889.80","$ 1,898.19","$ 1,880.27","$ 1,886.53",$ 15.58B,$ 227.46B
"Jul 20, 2023","Jul 21, 2023","$ 1,886.88","$ 1,922.83","$ 1,879.57","$ 1,888.72",$ 17.05B,$ 228.48B
"Jul 19, 2023","Jul 20, 2023","$ 1,894.89","$ 1,913.74","$ 1,882.30","$ 1,889.15",$ 15.00B,$ 229.14B
"Jul 18, 2023","Jul 19, 2023","$ 1,907.64","$ 1,913.63","$ 1,882.73","$ 1,894.72",$ 17.16B,$ 228.66B
"Jul 17, 2023","Jul 18, 2023","$ 1,910.67","$ 1,930.74","$ 1,882.30","$ 1,910.03",$ 14.21B,$ 230.04B
"Jul 16, 2023","Jul 17, 2023","$ 1,926.15","$ 1,935.12","$ 1,913.66","$ 1,918.05",$ 11.59B,$ 231.72B
"Jul 15, 2023","Jul 16, 2023","$ 1,934.13","$ 1,942.18","$ 1,918.99","$ 1,924.91",$ 20.33B,$ 232.43B
"Jul 14, 2023","Jul 15, 2023","$ 1,997.78","$ 2,017.49","$ 1,900.42","$ 1,935.26",$ 29.89B,$ 238.12B
"Jul 13, 2023","Jul 14, 2023","$ 1,872.85","$ 2,005.65","$ 1,865.07","$ 1,997.06",$ 18.73B,$ 230.02B
"Jul 12, 2023","Jul 13, 2023","$ 1,878.29","$ 1,895.34","$ 1,868.50","$ 1,872.13",$ 15.20B,$ 226.61B
"Jul 11, 2023","Jul 12, 2023","$ 1,875.57","$ 1,884.27","$ 1,864.22","$ 1,876.64",$ 16.96B,$ 225.69B
"Jul 10, 2023","Jul 11, 2023","$ 1,861.00","$ 1,901.34","$ 1,852.87","$ 1,878.29",$ 14.13B,$ 224.99B
"Jul 09, 2023","Jul 10, 2023","$ 1,866.71","$ 1,881.33","$ 1,859.29","$ 1,862.33",$ 12.13B,$ 225.14B
"Jul 08, 2023","Jul 09, 2023","$ 1,869.69","$ 1,874.81","$ 1,845.66","$ 1,866.28",$ 13.08B,$ 224.33B
"Jul 07, 2023","Jul 08, 2023","$ 1,837.16","$ 1,878.29","$ 1,837.16","$ 1,872.38",$ 22.13B,$ 224.34B
"Jul 06, 2023","Jul 07, 2023","$ 1,911.11","$ 1,956.32","$ 1,855.68","$ 1,856.26",$ 20.12B,$ 229.35B
"Jul 05, 2023","Jul 06, 2023","$ 1,937.73","$ 1,944.49","$ 1,898.06","$ 1,914.26",$ 15.10B,$ 231.46B
"Jul 04, 2023","Jul 05, 2023","$ 1,954.57","$ 1,966.89","$ 1,933.94","$ 1,937.58",$ 16.08B,$ 235.20B
"Jul 03, 2023","Jul 04, 2023","$ 1,931.26","$ 1,967.75","$ 1,928.77","$ 1,955.53",$ 20.34B,$ 234.95B
"Jul 02, 2023","Jul 03, 2023","$ 1,918.62","$ 1,951.77","$ 1,893.40","$ 1,932.24",$ 13.30B,$ 230.32B
"Jul 01, 2023","Jul 02, 2023","$ 1,932.10","$ 1,939.78","$ 1,909.95","$ 1,918.72",$ 26.22B,$ 231.08B
"Jun 30, 2023","Jul 01, 2023","$ 1,854.12","$ 1,937.98","$ 1,844.81","$ 1,932.69",$ 24.23B,$ 227.47B
"Jun 29, 2023","Jun 30, 2023","$ 1,832.15","$ 1,873.65","$ 1,831.67","$ 1,854.30",$ 17.29B,$ 222.87B
"Jun 28, 2023","Jun 29, 2023","$ 1,884.89","$ 1,884.89","$ 1,828.82","$ 1,831.57",$ 19.87B,$ 223.45B
"Jun 27, 2023","Jun 28, 2023","$ 1,859.41","$ 1,904.54","$ 1,856.54","$ 1,890.12",$ 20.84B,$ 226.24B
